City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,khandyga,62.6667,135.6,270.26,90,100,1.54,RU,1681943853
353,vila franca do campo,37.7167,-25.4333,287.38,90,99,5.66,PT,1681944308
354,asasa,7.1,39.2,286.56,81,33,1.19,ET,1681944309
355,rokytne,51.2796,27.214,281.82,84,98,3.07,UA,1681944309
356,okene,7.5981,6.2318,299.04,87,100,1.78,NG,1681944309
357,moose jaw,50.4001,-105.5344,271.29,93,100,9.77,CA,1681944309
358,sola,-13.8833,167.55,300.6,72,100,2.63,VU,1681944309
359,chibougamau,49.9168,-74.3659,269.94,68,100,4.12,CA,1681944193
360,sadovoye,47.7764,44.5089,281.93,47,47,4.81,RU,1681944310
361,quarai,-30.3875,-56.4514,283.43,78,42,2.77,BR,1681944251
